Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,FamilySize,TotalSpending,TotalAcceptedCmp,CampaignSuccessRate,IsParent,CustomerTenure,Churn,CLV,SpendingToIncome,HighValue,PurchaseActivity
Graduation,Single,58138.0,0,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,2,1617,1,0.16666666666666666,0,663,1,2.4352409638554215,0.027812655876434063,1,29
Graduation,Single,46344.0,1,1,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,4,27,0,0.0,1,113,0,0.23684210526315788,0.0005825871183514943,0,9
Graduation,Together,71613.0,0,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,2,776,0,0.0,0,312,0,2.4792332268370605,0.010835870081269025,0,24
Graduation,Together,26646.0,1,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,3,53,0,0.0,1,139,0,0.37857142857142856,0.0019889668630615077,0,12
PhD,Married,58293.0,1,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,3,422,0,0.0,1,161,1,2.6049382716049383,0.007239166981164442,0,19
Master,Together,62513.0,0,1,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,3,716,0,0.0,1,293,0,2.435374149659864,0.011453434430687526,0,26
Graduation,Divorced,55635.0,0,1,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,3,590,0,0.0,1,593,0,0.9932659932659933,0.010604644474800489,0,23
PhD,Married,33454.0,1,0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,3,169,0,0.0,1,417,0,0.4043062200956938,0.005051561799432073,0,16
PhD,Together,30351.0,1,0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,3,46,1,0.16666666666666666,1,388,0,0.11825192802056556,0.0015155508697944123,0,14
PhD,Together,5648.0,1,1,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,4,49,1,0.16666666666666666,1,108,1,0.44954128440366975,0.008674101610904586,0,21
Graduation,Married,51381.5,1,0,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,3,19,0,0.0,1,226,0,0.08370044052863436,0.00036977570184401306,0,10
